FLORES-200: 2009 EN sentences
OPUS-100 : 1004000 pairs
trainable params: 1,179,648 || all params: 105,527,296 || trainable%: 1.1179
No checkpoint found — starting from scratch
Starting training now!
{'loss': 6.7483, 'grad_norm': 2.2816290855407715, 'learning_rate': 0.00043066666666666665, 'epoch': 0.42}
{'eval_loss': 6.804316520690918, 'eval_bleu': 0.1793, 'eval_chrf': 7.6065, 'eval_runtime': 349.19, 'eval_samples_per_second': 5.728, 'eval_steps_per_second': 0.358, 'epoch': 0.42}
{'loss': 6.9626, 'grad_norm': 2.0362582206726074, 'learning_rate': 0.00043013333333333334, 'epoch': 0.42}
{'loss': 6.716, 'grad_norm': 2.3849878311157227, 'learning_rate': 0.0004296, 'epoch': 0.42}
{'loss': 6.8058, 'grad_norm': 2.4983606338500977, 'learning_rate': 0.00042906666666666667, 'epoch': 0.43}
{'loss': 6.4554, 'grad_norm': 2.365041971206665, 'learning_rate': 0.0004285333333333333, 'epoch': 0.43}
{'loss': 7.0186, 'grad_norm': 1.914033055305481, 'learning_rate': 0.000428, 'epoch': 0.43}
{'loss': 7.1008, 'grad_norm': 1.8593647480010986, 'learning_rate': 0.0004274666666666667, 'epoch': 0.44}
{'loss': 6.7098, 'grad_norm': 2.4671361446380615, 'learning_rate': 0.0004269333333333333, 'epoch': 0.44}
{'loss': 6.8106, 'grad_norm': 2.5490808486938477, 'learning_rate': 0.0004264, 'epoch': 0.44}
{'loss': 6.778, 'grad_norm': 1.9584580659866333, 'learning_rate': 0.0004258666666666667, 'epoch': 0.44}
{'loss': 6.7518, 'grad_norm': 2.363659143447876, 'learning_rate': 0.00042533333333333334, 'epoch': 0.45}
{'eval_loss': 6.783759593963623, 'eval_bleu': 0.1233, 'eval_chrf': 5.8977, 'eval_runtime': 436.0042, 'eval_samples_per_second': 4.587, 'eval_steps_per_second': 0.287, 'epoch': 0.45}
{'loss': 6.6983, 'grad_norm': 2.5359866619110107, 'learning_rate': 0.0004248, 'epoch': 0.45}
{'loss': 6.5306, 'grad_norm': 1.9793193340301514, 'learning_rate': 0.0004242666666666667, 'epoch': 0.45}
{'loss': 6.8199, 'grad_norm': 1.9367461204528809, 'learning_rate': 0.00042373333333333335, 'epoch': 0.46}
{'loss': 6.8849, 'grad_norm': 2.2337043285369873, 'learning_rate': 0.00042320000000000004, 'epoch': 0.46}
{'loss': 6.7552, 'grad_norm': 2.3658604621887207, 'learning_rate': 0.0004226666666666667, 'epoch': 0.46}
{'loss': 6.8755, 'grad_norm': 2.502188205718994, 'learning_rate': 0.00042213333333333337, 'epoch': 0.47}
{'loss': 6.7414, 'grad_norm': 2.3395471572875977, 'learning_rate': 0.0004216, 'epoch': 0.47}
{'loss': 6.6395, 'grad_norm': 2.17486572265625, 'learning_rate': 0.00042106666666666664, 'epoch': 0.47}
{'loss': 6.7804, 'grad_norm': 2.5778403282165527, 'learning_rate': 0.00042053333333333333, 'epoch': 0.48}
{'loss': 6.7461, 'grad_norm': 2.2035768032073975, 'learning_rate': 0.00042, 'epoch': 0.48}
{'eval_loss': 6.746268272399902, 'eval_bleu': 0.0891, 'eval_chrf': 4.9613, 'eval_runtime': 473.8546, 'eval_samples_per_second': 4.221, 'eval_steps_per_second': 0.264, 'epoch': 0.48}
{'loss': 7.0796, 'grad_norm': 1.9921488761901855, 'learning_rate': 0.00041946666666666665, 'epoch': 0.48}
{'loss': 6.784, 'grad_norm': 2.973379611968994, 'learning_rate': 0.00041893333333333334, 'epoch': 0.49}
{'loss': 6.7047, 'grad_norm': 2.3441715240478516, 'learning_rate': 0.0004184, 'epoch': 0.49}
{'loss': 6.6234, 'grad_norm': 2.458376884460449, 'learning_rate': 0.00041786666666666667, 'epoch': 0.49}
{'loss': 6.7049, 'grad_norm': 3.282869577407837, 'learning_rate': 0.00041733333333333336, 'epoch': 0.5}
{'loss': 6.6839, 'grad_norm': 2.251094341278076, 'learning_rate': 0.0004168, 'epoch': 0.5}
{'loss': 6.6878, 'grad_norm': 2.3535823822021484, 'learning_rate': 0.0004162666666666667, 'epoch': 0.5}
{'loss': 6.7925, 'grad_norm': 2.3944694995880127, 'learning_rate': 0.0004157333333333334, 'epoch': 0.51}
{'loss': 6.7176, 'grad_norm': 2.3063931465148926, 'learning_rate': 0.0004152, 'epoch': 0.51}
{'loss': 6.7697, 'grad_norm': 2.1353886127471924, 'learning_rate': 0.0004146666666666667, 'epoch': 0.51}
{'eval_loss': 6.731288433074951, 'eval_bleu': 0.1692, 'eval_chrf': 7.41, 'eval_runtime': 397.197, 'eval_samples_per_second': 5.035, 'eval_steps_per_second': 0.315, 'epoch': 0.51}
{'loss': 6.7163, 'grad_norm': 2.0146639347076416, 'learning_rate': 0.0004141333333333334, 'epoch': 0.52}
{'loss': 6.6605, 'grad_norm': 2.5879979133605957, 'learning_rate': 0.0004136, 'epoch': 0.52}
